,school_name,specialization,normalized_school,predicted_school,normalized_major,predicted_major
63,cao đẳng sư phạm huế,tin học ngoại ngữ,cao đẳng sư phạm huế,"(1.0, 'cao đẳng sư phạm huế')",tin học ngoại ngữ,"(0.35714285714285715, 'địa tin học')"
64,cao đẳng sư phạm huế,tin học ngoại ngữ,cao đẳng sư phạm huế,"(1.0, 'cao đẳng sư phạm huế')",tin học ngoại ngữ,"(0.35714285714285715, 'địa tin học')"
65,cao đẳng sư phạm huế,tin học ngoại ngữ,cao đẳng sư phạm huế,"(1.0, 'cao đẳng sư phạm huế')",tin học ngoại ngữ,"(0.35714285714285715, 'địa tin học')"
66,cao đẳng sư phạm huế,tin học ngoại ngữ,cao đẳng sư phạm huế,"(1.0, 'cao đẳng sư phạm huế')",tin học ngoại ngữ,"(0.35714285714285715, 'địa tin học')"
67,cao đẳng sư phạm huế,tin học ngoại ngữ,cao đẳng sư phạm huế,"(1.0, 'cao đẳng sư phạm huế')",tin học ngoại ngữ,"(0.35714285714285715, 'địa tin học')"
68,cao đẳng sư phạm huế,tin học ngoại ngữ,cao đẳng sư phạm huế,"(1.0, 'cao đẳng sư phạm huế')",tin học ngoại ngữ,"(0.35714285714285715, 'địa tin học')"
69,Đại học Mở TP.HCM,Kế toán - Kiểm toán,đại học mở tp.hcm,"(1.0, 'đại học mở tp hcm')",kế toán kiểm toán,"(0.7, 'kiểm toán')"
70,Đại học Mở TP.HCM,Kế toán - Kiểm toán,đại học mở tp.hcm,"(1.0, 'đại học mở tp hcm')",kế toán kiểm toán,"(0.7, 'kiểm toán')"
71,Đại học Mở TP.HCM,Kế toán - Kiểm toán,đại học mở tp.hcm,"(1.0, 'đại học mở tp hcm')",kế toán kiểm toán,"(0.7, 'kiểm toán')"
72,Đại học Mở TP.HCM,Kế toán - Kiểm toán,đại học mở tp.hcm,"(1.0, 'đại học mở tp hcm')",kế toán kiểm toán,"(0.7, 'kiểm toán')"
73,Đại học Hà Nội,Tài chính Ngân hàng,đại học hà nội,"(1.0, 'đại học hà nội')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
74,đại học Kinh Tế Quốc Dân,tiếng anh thương mại,đại học kinh tế quốc dân,"(1.0, 'đại học kinh tế quốc dân')",tiếng anh thương mại,"(1.0, 'tiếng anh thương mại')"
75,Đại học Kinh Tế TP.HCM,Tài chính Ngân hàng,đại học kinh tế tp.hcm,"(1.0, 'đại học kinh tế tp hcm')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
76,Trường Đại Học Cần Thơ,CNTT cơ bản,đại học cần thơ,"(1.0, 'đại học cần thơ')",công nghệ thông tin cơ bản,"(0.7058823529411765, 'công nghệ thông tin')"
77,Cao Đẳng Kinh Tế Đối Ngoại,Quản trị kinh doanh,cao đẳng kinh tế đối ngoại,"(1.0, 'cao đẳng kinh tế đối ngoại')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
78,Học viện nông nghiệp Việt Nam,Khoa học đất,học viện nông nghiệp việt nam,"(1.0, 'học viện nông nghiệp việt nam')",khoa học đất,"(1.0, 'khoa học đất')"
79,Đại học CN thành phố HCM,Hóa phân tích,đại học cn tp hcm,"(0.6428571428571429, 'đại học mở tp hcm')",hóa phân tích,"(0.30434782608695654, 'phân tích dữ liệu kinh doanh')"
80,Đại học Bách khoa HN,Quản Trị Kinh Doanh,đại học bách khoa hn,"(0.7368421052631579, 'đại học bách khoa hà nội')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
81,ĐẠI HỌC CÔNG NGHỆ SÀI GÒN STU,điện-điện tử,đại học công nghệ sài gòn stu,"(0.8571428571428571, 'đại học công nghệ sài gòn')",công nghệ kỹ thuật điện điện tử,"(1.0, 'công nghệ kỹ thuật điện điện tử')"
82,Học viện Nông nghiệp Việt Nam,Thú y,học viện nông nghiệp việt nam,"(1.0, 'học viện nông nghiệp việt nam')",thú y,"(1.0, 'thú y')"
83,trường đại học kinh tế tài chính,Quản trị nhân lực,đại học kinh tế tài chính,"(0.8181818181818182, 'đại học kinh tế tài chính tp hcm')",quản trị nhân lực,"(1.0, 'quản trị nhân lực')"
84,Học viện Báo chí và Tuyên truyền,Công tác xã hội,học viện báo chí và tuyên truyền,"(0.375, 'học viện báo chí và tuyên truyền')",công ta c xa hô i,"(0.29411764705882354, 'công tác xã hội')"
85,đại học giao thông vận tải thành phố HCM,cơ khí ô tô,đại học giao thông vận tải tp hcm,"(1.0, 'đại học giao thông vận tải tp hcm')",cơ khí ô tô,"(1.0, 'cơ khí ô tô')"
86,kinh tế quốc dân,kinh tế,kinh tế quốc dân,"(0.6666666666666666, 'đại học kinh tế quốc dân')",kinh tế,"(1.0, 'kinh tế')"
87,trường đại học công nghệ sài gòn,quản trị kinh doanh,đại học công nghệ sài gòn,"(1.0, 'đại học công nghệ sài gòn')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
88,học viện nông nghiệp việt nam,thú y,học viện nông nghiệp việt nam,"(1.0, 'học viện nông nghiệp việt nam')",thú y,"(1.0, 'thú y')"
89,ĐH Ngoại Thương,Kinh tế Đối ngoại,đại học ngoại thương,"(1.0, 'đại học ngoại thương')",kinh tế đối ngoại,"(1.0, 'kinh tế đối ngoại')"
90,cao đẵng nông nghiệp Nam Bộ,kế toán doanh nghiệp,cao đẵng nông nghiệp nam bộ,"(0.8, 'cao đẳng nông nghiệp nam bộ')",kế toán doanh nghiệp,"(1.0, 'kế toán doanh nghiệp')"
91,Trường THPT Nguyễn Huệ,Văn - Anh,thpt nguyễn huệ,"(1.0, 'trung học phổ thông')",văn anh,"(0.42857142857142855, 'văn học')"
92,Trường DH Nông nghiêp Hà Nội,kỹ thuật cơ khí,đại học nông nghiêp hà nội,"(0.6521739130434783, 'đại học công nghiệp hà nội')",kỹ thuật cơ khí,"(1.0, 'kỹ thuật cơ khí')"
93,đại học thăng long,tài chính,đại học thăng long,"(1.0, 'đại học thăng long')",tài chính,"(0.5833333333333334, 'tài chính lượng')"
94,đại học Ngân Hàng TPHCM,Tài chính,đại học ngân hàng tphcm,"(1.0, 'đại học ngân hàng tp hcm')",tài chính,"(0.5833333333333334, 'tài chính lượng')"
95,học viện tài chính,tài chính ngân hàng,học viện tài chính,"(1.0, 'học viện tài chính')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
96,Đại Học Duy Tân,Xây dựng cầu đường,đại học duy tân,"(1.0, 'đại học duy tân')",xây dựng cầu đường,"(1.0, 'xây dựng cầu đường')"
97,Đại học nông lâm thái nguyên,Khoa học môi trường,đại học nông lâm thái nguyên,"(0.8695652173913043, 'đại học nông lâm đại học thái nguyên')",khoa học môi trường,"(1.0, 'khoa học môi trường')"
98,Viện Đại Học Mở Hà Nội,Ngôn ngữ Anh,viện đại học mở hà nội,"(0.16, 'đại học kiên giang')",ngôn ngư anh,"(0.6, 'ngôn ngữ anh')"
99,Viện Đại Học Mở  Hà Nội,Kinh Tế (Kế Toán),viện đại học mở hà nội,"(0.16, 'đại học kiên giang')",kinh tê kê toa n,"(0.35294117647058826, 'thống kê kinh tế')"
100,Đại học Kinh doanh và công nghệ Hà Nội,Kế toán,đại học kinh doanh và công nghệ hà nội,"(1.0, 'đại học kinh doanh và công nghệ hà nội')",kế toán,"(1.0, 'kế toán')"
101,DHBKHN,Cao học,đại học bách khoa hn,"(0.7368421052631579, 'đại học bách khoa hà nội')",cao học,"(0.2857142857142857, 'cơ học')"
102,đại học Thương Mại,Marketing,đại học thương mại,"(1.0, 'đại học thương mại')",marketing,"(1.0, 'marketing')"
103,The University of Greenwich,Computer Sceince,the university of greenwich,"(0.7083333333333334, 'đại học greenwich')",computer sceince,"(0.6875, 'khoa học máy tính')"
104,Đại học Ngoại thương,Quản trị kinh doanh,đại học ngoại thương,"(1.0, 'đại học ngoại thương')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
105,Học viện Báo chí và Tuyên truyền,Quảng cáo,học viện báo chí và tuyên truyền,"(0.375, 'học viện báo chí và tuyên truyền')",qua ng ca o,"(0.35714285714285715, 'quan hệ lao động')"
106,Vietnam National University,English Translation and Interpretation,national university,"(0.7272727272727273, 'đại học quốc gia hà nội')",english translation and interpretation,"(0.6333333333333333, 'phiên dịch tiếng anh')"
107,Đại học khoa học xã hội và nhân văn,công tác xã hội,đại học khoa học xã hội và nhân văn,"(0.9230769230769231, 'đại học khoa học xã hội và nhân văn hà nội')",công tác xã hội,"(1.0, 'công tác xã hội')"
108,Natinal Economics University,Bachelor of Business Administration,natinal economics university,"(0.92, 'đại học kinh tế quốc dân')",business administration,"(1.0, 'quản trị kinh doanh')"
109,Đại học Hà Nội,Tài chính - Ngân hàng,đại học hà nội,"(1.0, 'đại học hà nội')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
110,đại học hải phòng,giáo dục tiểu học,đại học hải phòng,"(1.0, 'đại học hải phòng')",giáo dục tiểu học,"(1.0, 'giáo dục tiểu học')"
111,National Economics University,Investment Economics,national economics university,"(1.0, 'đại học kinh tế quốc dân')",investment economics,"(0.8421052631578947, 'kinh tế đầu tư')"
112,Học Viện Ngoại Giao,Truyền Thông Quốc Tế,học viện ngoại giao,"(0.34615384615384615, 'học viện ngoại giao việt nam')",truyê n thông quô c tê,"(0.5238095238095238, 'truyền thông quốc tế')"
113,đại học công nghệ thông tin - đại học quốc gia tphcm,cử nhân cntt,đại học công nghệ thông tin - đại học quốc gia tp hcm,"(0.6875, 'đại học công nghệ thông tin tp hcm')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
114,trường Đại học Thương mại,quản trị kinh doanh,đại học thương mại,"(1.0, 'đại học thương mại')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
115,Trường Đại học Thương mại,Cao Học Thương Mại,đại học thương mại,"(1.0, 'đại học thương mại')",cao học thương mại,"(0.4, 'thương mại điện tử')"
116,Đại học Ngoại thương,Quản trị kinh doanh,đại học ngoại thương,"(1.0, 'đại học ngoại thương')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
117,Cao Đẳng Nghề Công Nghiệp Hà Nội,Công Nghệ Thông Tin,cao đẳng nghề công nghiệp hà nội,"(1.0, 'cao đẳng nghề công nghiệp hà nội')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
118,Đại học kinh tế tp hcm,Quản trị kinh doanh,đại học kinh tế tp hcm,"(1.0, 'đại học kinh tế tp hcm')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
119,Trường Đại học Cần Thơ,Công nghệ thông tin,đại học cần thơ,"(1.0, 'đại học cần thơ')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
120,Đại học kinh tế tài chính,Quản trị nhân lực,đại học kinh tế tài chính,"(0.8181818181818182, 'đại học kinh tế tài chính tp hcm')",quản trị nhân lực,"(1.0, 'quản trị nhân lực')"
121,Cao đẳng kinh tế đối ngoại,Kế toán thương mại,cao đẳng kinh tế đối ngoại,"(1.0, 'cao đẳng kinh tế đối ngoại')",kế toán thương mại,"(0.47368421052631576, 'thương mại điện tử')"
122,Học viện công nghệ bưu chính viễn thông,Công nghệ truyền thông,học viện công nghệ bưu chính viễn thông,"(1.0, 'học viện công nghệ bưu chính viễn thông')",công nghệ truyền thông,"(1.0, 'công nghệ truyền thông')"
123,ĐH Ngoại Thương,Luật Thương mại quốc tế,đại học ngoại thương,"(1.0, 'đại học ngoại thương')",luật thương mại quốc tế,"(1.0, 'luật thương mại quốc tế')"
124,Học viện công nghệ bưu chính viễn thông,Marketing,học viện công nghệ bưu chính viễn thông,"(1.0, 'học viện công nghệ bưu chính viễn thông')",marketing,"(1.0, 'marketing')"
125,Ten lơ Man,Học Sinh,ten lơ man,"(0.15789473684210525, 'đại học manchester')",học sinh,"(1.0, 'học sinh')"
126,Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,đại học văn hoá hà nội,"(0.6842105263157895, 'đại học văn hóa hà nội')",kinh doanh xuất bản phẩm,"(1.0, 'kinh doanh xuất bản phẩm')"
127,Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,đại học văn hoá hà nội,"(0.6842105263157895, 'đại học văn hóa hà nội')",kinh doanh xuất bản phẩm,"(1.0, 'kinh doanh xuất bản phẩm')"
128,Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,đại học văn hoá hà nội,"(0.6842105263157895, 'đại học văn hóa hà nội')",kinh doanh xuất bản phẩm,"(1.0, 'kinh doanh xuất bản phẩm')"
129,Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,đại học văn hoá hà nội,"(0.6842105263157895, 'đại học văn hóa hà nội')",kinh doanh xuất bản phẩm,"(1.0, 'kinh doanh xuất bản phẩm')"
130,Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,đại học văn hoá hà nội,"(0.6842105263157895, 'đại học văn hóa hà nội')",kinh doanh xuất bản phẩm,"(1.0, 'kinh doanh xuất bản phẩm')"
131,Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,đại học văn hoá hà nội,"(0.6842105263157895, 'đại học văn hóa hà nội')",kinh doanh xuất bản phẩm,"(1.0, 'kinh doanh xuất bản phẩm')"
132,Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,đại học văn hoá hà nội,"(0.6842105263157895, 'đại học văn hóa hà nội')",kinh doanh xuất bản phẩm,"(1.0, 'kinh doanh xuất bản phẩm')"
133,Cao Đẳng Kỹ Thuật Cao Thắng,Điện Tử Công Nghiệp Và Dân Dụng,cao đẳng kỹ thuật cao thắng,"(1.0, 'cao đẳng kỹ thuật cao thắng')",điện tử công nghiệp và dân dụng,"(0.4827586206896552, 'xây dựng dân dụng và công nghiệp')"
134,Trường đại học kinh tế quốc dân,Quản trị Marketing,đại học kinh tế quốc dân,"(1.0, 'đại học kinh tế quốc dân')",quản trị marketing,"(1.0, 'quản trị marketing')"
135,huhhh,chhbh,huhhh,"(0.125, 'cao đẳng du lịch huế')",chhbh,"(0.125, 'lịch sử')"
136,báhhsh,hsghshs,báhhsh,"(0.07692307692307693, 'trung học phổ thông')",hsghshs,"(0.18181818181818182, 'phổ thông')"
137,Đại học Nguyễn Tất Thành,chuyên ngành công nghệ may thời trang,đại học nguyễn tất thành,"(1.0, 'đại học nguyễn tất thành')",công nghệ may thời trang,"(0.5294117647058824, 'công nghệ may')"
138,Học viện công nghệ bưu chính viễn thông,Truyền thông đa phương tiện,học viện công nghệ bưu chính viễn thông,"(1.0, 'học viện công nghệ bưu chính viễn thông')",truyền thông đa phương tiện,"(1.0, 'truyền thông đa phương tiện')"
139,Sài Gòn University,Ngôn ngữ Anh,sài gòn university,"(0.5882352941176471, 'đại học yersin đà lạt')",ngôn ngữ anh,"(1.0, 'ngôn ngữ anh')"
140,Công Nghiệp 4,Phục Vụ Nhà Hàng,công nghiệp 4,"(0.47058823529411764, 'cao đẳng công nghiệp in')",phục vụ nhà hàng,"(0.20833333333333334, 'kỹ thuật phục hình răng')"
141,Công Nghiệp 4,Phục Vụ Nhà Hàng,công nghiệp 4,"(0.47058823529411764, 'cao đẳng công nghiệp in')",phục vụ nhà hàng,"(0.20833333333333334, 'kỹ thuật phục hình răng')"
142,Trường Cao đẳng Kinh tế Đối Ngoại,Marketing Thương mại,cao đẳng kinh tế đối ngoại,"(1.0, 'cao đẳng kinh tế đối ngoại')",marketing thương mại,"(0.5, 'marketing')"
143,Đại học Hà Nội,Quốc tế học,đại học hà nội,"(1.0, 'đại học hà nội')",quốc tế học,"(1.0, 'quốc tế học')"
144,xxs,sds,xxs,"(0.5, 'đại học sân khấu điện ảnh tp hcm')",sds,"(0.06666666666666667, 'hoa kỳ học')"
145,hutech,quản trị kinh doanh tài chính ngân hàng,hutech,"(1.0, 'đại học công nghệ tp hcm')",quản trị kinh doanh tài chính ngân hàng,"(0.5185185185185185, 'quản trị kinh doanh')"
146,Đại học Xã hội và Nhân văn,Ngôn ngữ Anh,đại học xã hội và nhân văn,"(0.3235294117647059, 'đại học khoa học xã hội và nhân văn hà nội')",ngôn ngư anh,"(0.6, 'ngôn ngữ anh')"
147,Đại học Ngoại Ngữ,Tiếng Anh Kinh tế Quốc tế,đại học ngoại ngữ,"(0.7333333333333333, 'đại học ngoại ngữ đại học huế')",tiếng anh kinh tế quốc tế,"(0.5882352941176471, 'kinh tế quốc tế')"
148,Đại học Khoa học Xã hội và Nhân văn,Quản trị dịch vụ du lịch và lữ hành,đại học khoa học xã hội và nhân văn,"(0.9230769230769231, 'đại học khoa học xã hội và nhân văn hà nội')",quản trị dịch vụ du lịch và lữ hành,"(1.0, 'quản trị dịch vụ du lịch và lữ hành')"
149,Đại học Thương Mại,Quản trị kinh doanh,đại học thương mại,"(1.0, 'đại học thương mại')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
150,thang long,toán,thang long,"(0.4117647058823529, 'đại học thăng long')",toán,"(0.6, 'kế toán')"
151,Trường Đại học Thủ Dầu Một,Khoa Ngôn Ngữ Anh,đại học thủ dầu một,"(1.0, 'đại học thủ dầu một')",khoa ngôn ngữ anh,"(0.7272727272727273, 'ngôn ngữ anh')"
152,DH Khoa học Tự nhiên,Công nghệ Thông tin,đại học khoa học tự nhiên,"(0.8095238095238095, 'đại học khoa học tự nhiên hà nội')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
153,Đại học kinh doanh và công nghệ Hà Nội,Quản lý kinh doanh,đại học kinh doanh và công nghệ hà nội,"(1.0, 'đại học kinh doanh và công nghệ hà nội')",quản lý kinh doanh,"(0.6, 'quản lý kinh tế')"
154,đại học Tài Chính Marketing,chuyên ngành Quản Trị Kinh Doanh,đại học tài chính marketing,"(1.0, 'đại học tài chính marketing')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
155,Đại học Kinh doanh và Công nghệ Hà Nội,Ngân hàng,đại học kinh doanh và công nghệ hà nội,"(1.0, 'đại học kinh doanh và công nghệ hà nội')",ngân hàng,"(0.46153846153846156, 'tài chính ngân hàng')"
156,Cao Đẳng Du Lịch Hà Nội,"Quản trị kinh doanh khách sạn, nhà hàng",cao đẳng du lịch hà nội,"(1.0, 'cao đẳng du lịch hà nội')",quản trị kinh doanh khách sạn nhà hàng,"(0.5185185185185185, 'quản trị kinh doanh')"
157,THCS Trần Đăng NInh,Lịch Sử,thcs trần đăng ninh,"(1.0, 'trung học cơ sở')",lịch sử,"(1.0, 'lịch sử')"
158,fpt-arena,thiết kế đồ họa,fpt-arena,"(0.15384615384615385, 'đại học fpt')",thiê t kê đô ho a,"(0.18181818181818182, 'kỹ thuật khí thiên nhiên')"
159,fpt-arena,thiết kế đồ họa,fpt-arena,"(0.15384615384615385, 'đại học fpt')",thiê t kê đô ho a,"(0.18181818181818182, 'kỹ thuật khí thiên nhiên')"
160,Bach Khoa University,Công trình thủy,bach khoa university,"(1.0, 'đại học bách khoa tp hcm')",công trình thủy,"(0.5, 'kỹ thuật xây dựng công trình thủy')"
161,Học viện tài chính,Kế toán trưởng,học viện tài chính,"(1.0, 'học viện tài chính')",kế toán trưởng,"(0.45454545454545453, 'kế toán')"
162,Học viện tài chính,Tài chính - ngân hàng,học viện tài chính,"(1.0, 'học viện tài chính')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
163,"Troy University (USA) - School of International Education, Hanoi University of Science and Technology, Hanoi (Vietnam) ","Bachelor of Global Business Administration, Troy University (USA) ","troy university (usa) - school of international education, hanoi university of science and technology, hanoi ()","(0.5666666666666667, 'đại học bách khoa hà nội')",global business administration troy university usa,"(0.5581395348837209, 'quản trị và kinh doanh quốc tế')"
164,đại học kiến trúc đà nẵng,kiến trúc công trình,đại học kiến trúc đà nẵng,"(1.0, 'đại học kiến trúc đà nẵng')",kiến trúc công trình,"(0.4666666666666667, 'kiến trúc')"
165,Đại học Khoa học tự nhiên,Sinh học,đại học khoa học tự nhiên,"(0.8095238095238095, 'đại học khoa học tự nhiên hà nội')",sinh học,"(1.0, 'sinh học')"
166,Đại học Khoa học tự nhiên,Sinh học,đại học khoa học tự nhiên,"(0.8095238095238095, 'đại học khoa học tự nhiên hà nội')",sinh học,"(1.0, 'sinh học')"
167,Đại học Công Nghệ - ĐHQGHN,Công Nghệ Thông Tin,đại học công nghệ - đại học quốc gia hà nội,"(0.68, 'đại học quốc gia hà nội')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
168,Đại học Công Nghệ - ĐHQGHN,Công Nghệ Thông Tin,đại học công nghệ - đại học quốc gia hà nội,"(0.68, 'đại học quốc gia hà nội')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
169,Học viện Công nghệ Bưu chính Viễn thông,CNTT,học viện công nghệ bưu chính viễn thông,"(1.0, 'học viện công nghệ bưu chính viễn thông')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
170,Đại học Tài Chính - Marketing,Marketing,đại học tài chính - marketing,"(1.0, 'đại học tài chính marketing')",marketing,"(1.0, 'marketing')"
171,BMG International Education,Quản lý sự kiện,bmg international education,"(0.3548387096774194, 'đại học quốc tế đại học quốc gia hcm')",quản lý sự kiện,"(0.5333333333333333, 'quản trị sự kiện')"
172,cao đẳng điện lực miền trung,điện tử viễn thông,cao đẳng điện lực miền trung,"(1.0, 'cao đẳng điện lực miền trung')",điện tử viễn thông,"(0.6842105263157895, 'kỹ thuật điện tử viễn thông')"
173,Trường đào tạo lái xe SAIGON,Khóa đào tạo lái xe chuyên nghiệp,đào tạo lái xe saigon,"(0.3125, 'đào tạo')",khóa đào tạo lái xe chuyên nghiệp,"(0.1724137931034483, 'nông nghiệp')"
174,Đại học Thương mại,Luật Kinh tế,đại học thương mại,"(1.0, 'đại học thương mại')",luật kinh tế,"(1.0, 'luật kinh tế')"
175,đại học lâm nghiệp,lâm học,đại học lâm nghiệp,"(0.7, 'đại học lâm nghiệp việt nam')",lâm học,"(1.0, 'lâm học')"
176,học viện nông nghiệp việt nam,công nghệ thực phẩm,học viện nông nghiệp việt nam,"(1.0, 'học viện nông nghiệp việt nam')",công nghệ thực phẩm,"(1.0, 'công nghệ thực phẩm')"
177,Đại học Khoa học Xã hội và Nhân văn,Quản lý Nhân lực,đại học khoa học xã hội và nhân văn,"(0.9230769230769231, 'đại học khoa học xã hội và nhân văn hà nội')",quản lý nhân lực,"(0.6, 'quản trị nhân lực')"
178,Đại học Khoa học Xã hội và Nhân văn,khoa học quản lý (quản lý nguồn nhân lực),đại học khoa học xã hội và nhân văn,"(0.9230769230769231, 'đại học khoa học xã hội và nhân văn hà nội')",khoa học quản lý quản lý nguồn nhân lực,"(0.5, 'khoa học quản lý')"
179,vượt qua sóng gió,đời là bể khổ,vượt qua sóng gió,"(0.14814814814814814, 'sĩ quan tăng thiết giáp')",đời là bể khổ,"(0.09090909090909091, 'quay phim')"
180,ĐH Ngân hàng TP. HCM,Thương mại điện tử,đại học ngân hàng tp. hcm,"(1.0, 'đại học ngân hàng tp hcm')",thương mại điện tử,"(1.0, 'thương mại điện tử')"
181,Đại học Bình Dương,Cử nhân tiếng Anh,đại học bình dương,"(1.0, 'đại học bình dương')",tiếng anh,"(0.5384615384615384, 'sư phạm tiếng anh')"
182,đại học Tôn Đức Thắng,Quản lí thể thao,đại học tôn đức thắng,"(0.30434782608695654, 'đại học tôn đức thắng')",qua n li thê thao,"(0.2631578947368421, 'ngôn ngữ italia')"
183,kinh tế quốc dân,quản trị kinh doanh thương mại,kinh tế quốc dân,"(0.6666666666666666, 'đại học kinh tế quốc dân')",quản trị kinh doanh thương mại,"(0.6956521739130435, 'kinh doanh thương mại')"
184,Đại Học Ngoại Ngữ,Tiếng Anh Kinh Tế Quốc Tế,đại học ngoại ngữ,"(0.7333333333333333, 'đại học ngoại ngữ đại học huế')",tiếng anh kinh tế quốc tế,"(0.5882352941176471, 'kinh tế quốc tế')"
185,Đại học Kinh Tế Quốc Dân,Marketing - Quản trị bán hàng,đại học kinh tế quốc dân,"(1.0, 'đại học kinh tế quốc dân')",marketing quản trị bán hàng,"(0.6363636363636364, 'quản trị marketing')"
186,đại học điện lực,quản lý năng lượng,đại học điện lực,"(1.0, 'đại học điện lực')",quản lý năng lượng,"(1.0, 'quản lý năng lượng')"
187,Học viện Ngoại giao Việt Nam (DAV),Truyền thông Quốc tế,học viện ngoại giao việt nam (dav),"(0.8695652173913043, 'học viện ngoại giao việt nam')",truyền thông quốc tế,"(1.0, 'truyền thông quốc tế')"
188,"THPT Chuyên Lê Hồng Phong, Nam Định",chuyên Anh,"thpt chuyên lê hồng phong, nam định","(1.0, 'trung học phổ thông')",chuyên anh,"(0.26666666666666666, 'chỉ huy âm nhạc')"
189,Thang Long University,Finance & Banking,thang long university,"(1.0, 'đại học thăng long')",finance banking,"(1.0, 'tài chính ngân hàng')"
190,Đại học sư phạm thành phố Hồ Chí Minh,Giáo Dục Đặc Biệt,đại học sư phạm tp hcm,"(1.0, 'đại học sư phạm tp hcm')",giáo dục đặc biệt,"(1.0, 'giáo dục đặc biệt')"
191,Học viện Báo chí và Tuyên truyền,Quan hệ công chúng (PR),học viện báo chí và tuyên truyền,"(1.0, 'học viện báo chí và tuyên truyền')",quan hệ công chúng pr,"(0.8666666666666667, 'quan hệ công chúng')"
192,Học viện CN Bưu chính viễn thông,Truyền thông đa phương tiện,học viện cn bưu chính viễn thông,"(0.7586206896551724, 'học viện công nghệ bưu chính viễn thông')",truyền thông đa phương tiện,"(1.0, 'truyền thông đa phương tiện')"
193,Đại học Kinh tế Quốc dân,Truyền thông Marketing,đại học kinh tế quốc dân,"(1.0, 'đại học kinh tế quốc dân')",truyền thông marketing,"(1.0, 'truyền thông marketing')"
194,đại học luật,luật dân sự,đại học luật,"(0.6923076923076923, 'đại học luật đại học huế')",luật dân sự,"(0.3888888888888889, 'luật tố tụng và tố tụng dân sự')"
195,Thpt Hác dich,Trungg Cáp duoc,thpt hác dich,"(1.0, 'trung học phổ thông')",trungg cáp duoc,"(0.35714285714285715, 'trung cấp')"
196,Trường Đại học Nha Trang,Kế toán,đại học nha trang,"(1.0, 'đại học nha trang')",kế toán,"(1.0, 'kế toán')"
197,Cao Đẳng Giao Thông Vận Tải 3,công nghệ kĩ thuật o tô,cao đẳng giao thông vận tải 3,"(0.76, 'cao đẳng giao thông vận tải tphcm')",công nghệ kĩ thuật o tô,"(0.631578947368421, 'công nghệ kỹ thuật ô tô')"
198,đại học công nghiệp,công nghệ thông tin,đại học công nghiệp,"(0.7777777777777778, 'đại học công nghiệp vinh')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
199,Bình Dương University,Tài chính - Ngân Hàng,bình dương university,"(0.5652173913043478, 'đại học thành đông')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
200,Trường DH kinh tế Quốc dân,Thương mại quốc tế,đại học kinh tế quốc dân,"(1.0, 'đại học kinh tế quốc dân')",thương mại quốc tế,"(0.7777777777777778, 'luật thương mại quốc tế')"
201,đại học y thái bình ,bác sĩ đa khoa,đại học y thái bình,"(0.8, 'đại học thái bình')",bác sĩ đa khoa,"(0.45454545454545453, 'y đa khoa')"
202,Chuyên Khoa Học Tự Nhiên,Toán - Tin,chuyên khoa học tự nhiên,"(0.5, 'đại học khoa học tự nhiên hà nội')",toán tin,"(1.0, 'toán tin')"
203,Hotel Insitute Montreux,Hospitality Management - Specialization in Marketing,hotel insitute montreux,"(0.32, 'viện holmes')",hospitality management specialization in marketing,"(0.41025641025641024, 'quản lý bệnh viện')"
204,thcs bình sơn,học chữ,thcs bình sơn,"(1.0, 'trung học cơ sở')",học chữ,"(0.375, 'dược học')"
205,Danang University of Economics,Marketing,danang university of economics,"(1.0, 'đại học kinh tế đại học đà nẵng')",marketing,"(1.0, 'marketing')"
